id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
13886571,JJ317199,2025-07-01T00:00:00.000,048XX S ASHLAND AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,COMMERCIAL / BUSINESS OFFICE,True,False,0933,009,20,61,04B,1166490,1872603,2025,2025-07-08T15:44:15.000,41.805993183,-87.664900005,"{'latitude': '41.805993183', 'longitude': '-87.664900005', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13886197,JJ316846,2025-07-01T00:00:00.000,069XX S DR MARTIN LUTHER KING JR DR,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,0322,003,6,69,15,1180115,1859157,2025,2025-07-08T15:44:15.000,41.768794442,-87.615340699,"{'latitude': '41.768794442', 'longitude': '-87.615340699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13931580,JJ371226,2025-07-01T00:00:00.000,002XX E 108TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,0513,005,9,49,08B,1179938,1833410,2025,2025-08-19T15:46:13.000,41.698145615,-87.616775204,"{'latitude': '41.698145615', 'longitude': '-87.616775204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13885571,JJ315956,2025-07-01T00:46:00.000,060XX S PRAIRIE AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,True,False,0311,003,20,40,24,1179077,1864942,2025,2025-07-09T15:43:39.000,41.784692785,-87.618969317,"{'latitude': '41.784692785', 'longitude': '-87.618969317', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13885574,JJ315974,2025-07-01T00:49:00.000,066XX S ARTESIAN AVE,2020,NARCOTICS,POSSESS - AMPHETAMINES,STREET,True,False,0832,008,16,66,18,1161187,1860467,2025,2025-07-09T15:43:39.000,41.772801914,-87.684685335,"{'latitude': '41.772801914', 'longitude': '-87.684685335', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13885586,JJ316007,2025-07-01T00:52:00.000,012XX W 63RD ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,True,False,0713,007,16,67,24,1168936,1862999,2025,2025-07-09T15:43:39.000,41.779586144,-87.656206424,"{'latitude': '41.779586144', 'longitude': '-87.656206424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13885568,JJ315959,2025-07-01T00:57:00.000,113XX S MICHIGAN AVE,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,False,0531,005,9,49,26,1178812,1829979,2025,2025-07-09T15:43:39.000,41.688756095,-87.621001903,"{'latitude': '41.688756095', 'longitude': '-87.621001903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13885579,JJ315962,2025-07-01T01:13:00.000,023XX S HOMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1024,010,22,30,08B,1154069,1888152,2025,2025-07-09T15:43:39.000,41.848917689,-87.710042229,"{'latitude': '41.848917689', 'longitude': '-87.710042229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13885552,JJ315976,2025-07-01T01:24:00.000,0000X W CHICAGO AVE,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,True,False,1832,018,42,8,26,1175903,1905719,2025,2025-07-09T15:43:39.000,41.896659808,-87.62938108,"{'latitude': '41.896659808', 'longitude': '-87.62938108', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13885584,JJ315966,2025-07-01T01:25:00.000,018XX S ALLPORT ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,True,False,1233,012,25,31,04A,1168328,1891191,2025,2025-07-09T15:43:39.000,41.856961054,-87.657622657,"{'latitude': '41.856961054', 'longitude': '-87.657622657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
