date,primary_type,description,location_description,arrest,beat,district,ward,community_area,latitude,longitude
2020-04-16 05:00:00,BATTERY,SIMPLE,APARTMENT,True,0915,009,11,60,41.836310224,-87.639624112
2020-07-01 10:16:00,ASSAULT,AGGRAVATED - HANDGUN,STREET,True,0422,004,7,46,41.747609555,-87.549179329
2020-08-04 20:28:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,0613,006,21,71,41.746220584,-87.658477307
2020-06-02 22:00:00,THEFT,$500 AND UNDER,STREET,True,0925,009,11,61,41.817138145,-87.644537728
2020-09-11 22:44:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,1121,011,27,23,41.896470682,-87.712687444
2020-05-22 22:29:00,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,1522,015,28,25,41.880823946,-87.758747941
2020-08-05 01:00:00,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,True,0133,001,4,33,41.846801978,-87.623527134
2020-07-05 17:18:00,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,True,1511,015,29,25,41.893408918,-87.765338129
2020-03-30 11:45:00,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,0511,005,9,49,41.711815615,-87.615099806
2020-08-05 08:06:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,True,0733,007,6,68,41.766416791,-87.645667032
2020-10-22 05:00:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,True,0924,009,15,61,41.811538648,-87.663833607
2020-03-08 00:01:00,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,True,0531,005,9,49,41.688183975,-87.618141533
2020-08-14 23:20:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,0715,007,15,67,41.792869991,-87.668204752
2020-06-05 14:15:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,1134,011,24,29,41.867652634,-87.704485374
2020-08-29 22:10:00,BATTERY,SIMPLE,RESTAURANT,True,1424,014,1,24,41.906309742,-87.671102583
2020-09-07 21:12:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,0935,009,11,61,41.805850942,-87.645454564
